"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008135","GO:0008135","translation factor activity, RNA binding","30/1526","154/27621",1.39120645351928e-09,1.13699509246712e-07,9.33239927193318e-08,"P68104/P13639/P49411/Q05639/P63241/P26641/P24534/P29692/P41567/P60842/Q14240/P06730/Q6IS14/Q9GZV4/P62495/Q04637/O14602/P47813/P60228/Q13347/P56537/O00303/P78344/A6NMX2/P55010/Q14152/Q8NE71/B5ME19/Q99613/O60841",30
"GO:0008143","GO:0008143","poly(A) binding","12/1526","26/27621",3.62782838138015e-09,2.7178480957173e-07,2.23079622398902e-07,"O00571/P11940/Q92499/O60506/Q13310/Q9H361/O14979/Q07666/P31483/Q5VWX1/Q6PJT7/P38919",12
"GO:0003727","GO:0003727","single-stranded RNA binding","25/1526","121/27621",9.21976827287046e-09,6.37582436716195e-07,5.23324498727303e-07,"P09651/P26599/P04083/P31943/O00571/P11940/P07910/Q92499/O60506/P26368/P09429/P52597/Q13310/P62633/Q00839/Q9H361/P36776/O14979/Q07666/P31483/Q5VWX1/Q6PJT7/P38919/Q8TCS8/Q13422",25
"GO:0009055","GO:0009055","electron carrier activity","32/1526","187/27621",1.12789502112586e-08,7.24269731422961e-07,5.9447699985656e-07,"O15460/O75489/P14854/P49748/P28331/P38117/P99999/P13804/P14406/Q9H299/P23368/Q12797/O00483/P11310/P00167/P19404/P08574/Q15067/Q9UI09/P21912/P13073/P16435/O75306/O95831/Q9Y6N1/Q9H845/O43837/O43175/P26440/Q9H7Z7/P45954/P30038",32
"GO:0048037","GO:0048037","cofactor binding","59/1526","492/27621",1.98737732449139e-08,1.19110147647851e-06,9.77650178574361e-07,"Q99714/P04406/P40939/P00505/P04181/P00367/P49821/P34897/P49748/P00338/P50213/Q16698/P13804/O75521/P24752/P23368/O00116/P22307/Q16795/P11310/P00387/P35914/Q9UBQ7/Q15067/Q16836/P48735/P07195/Q08257/Q02218/P21912/P31040/P16435/P53396/O75306/O75251/P09622/P53597/P09874/P15259/O95831/P31937/Q8NBZ7/Q9H845/O95479/O43837/Q9H3P7/O43175/P26440/Q9Y697/P45954/P49189/O15269/P50336/P34896/P04040/Q9Y6N5/P80404/P02768/Q9ULD0",59
"GO:0003954","GO:0003954","NADH dehydrogenase activity","17/1526","64/27621",4.4066931030627e-08,2.20089838869631e-06,1.80648647090465e-06,"O75489/P49821/O96000/P28331/O00483/O43920/Q16718/Q16795/O95168/P19404/O95182/P56556/Q9UI09/O95299/O75306/O75251/O00217",17
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","17/1526","64/27621",4.4066931030627e-08,2.20089838869631e-06,1.80648647090465e-06,"O75489/P49821/O96000/P28331/O00483/O43920/Q16718/Q16795/O95168/P19404/O95182/P56556/Q9UI09/O95299/O75306/O75251/O00217",17
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","17/1526","64/27621",4.4066931030627e-08,2.20089838869631e-06,1.80648647090465e-06,"O75489/P49821/O96000/P28331/O00483/O43920/Q16718/Q16795/O95168/P19404/O95182/P56556/Q9UI09/O95299/O75306/O75251/O00217",17
"GO:0050662","GO:0050662","coenzyme binding","45/1526","347/27621",9.93605103627256e-08,4.65135861622458e-06,3.81781206015272e-06,"Q99714/P04406/P40939/P00367/P49821/P49748/P00338/P50213/Q16698/P13804/O75521/P24752/P23368/O00116/P22307/Q16795/P11310/P00387/P35914/Q9UBQ7/Q15067/Q16836/P48735/P07195/Q08257/Q02218/P31040/P16435/O75306/P09622/P09874/O95831/P31937/Q8NBZ7/Q9H845/O95479/O43837/Q9H3P7/O43175/P26440/P45954/P49189/P50336/P04040/Q9ULD0",45
"GO:0051287","GO:0051287","NAD binding","21/1526","100/27621",1.03478500917121e-07,4.65135861622458e-06,3.81781206015272e-06,"Q99714/P04406/P40939/P00367/P49821/P00338/P50213/P23368/P00387/Q9UBQ7/Q16836/P48735/P07195/O75306/P09622/P09874/P31937/Q8NBZ7/O43837/O43175/P49189",21
"GO:0003756","GO:0003756","protein disulfide isomerase activity","11/1526","29/27621",1.93859442357504e-07,7.57737559475634e-06,6.21947226968467e-06,"P30101/P07237/Q15084/Q8NBS9/Q9BS26/P13667/Q9H3N1/Q96HE7/Q9H1E5/Q96JJ7/Q14554",11
"GO:0016864","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","11/1526","29/27621",1.93859442357504e-07,7.57737559475634e-06,6.21947226968467e-06,"P30101/P07237/Q15084/Q8NBS9/Q9BS26/P13667/Q9H3N1/Q96HE7/Q9H1E5/Q96JJ7/Q14554",11
"GO:0031489","GO:0031489","myosin V binding","11/1526","29/27621",1.93859442357504e-07,7.57737559475634e-06,6.21947226968467e-06,"Q15907/P62491/P20340/P61106/Q9NRW1/P35637/O00194/P20337/P51159/P61006/P61026",11
"GO:0003725","GO:0003725","double-stranded RNA binding","23/1526","123/27621",2.44299370566315e-07,8.89051251561397e-06,7.29728853515062e-06,"P08670/P10809/P68371/Q12905/P68363/P12814/P26038/P02786/Q15717/Q86UE4/Q92499/P09429/P60842/Q00610/P08238/O75569/P08195/Q9H9J2/Q9NR30/Q12906/P19525/Q9NR56/O95793",23
"GO:0008187","GO:0008187","poly-pyrimidine tract binding","10/1526","24/27621",2.4723338475011e-07,8.89051251561397e-06,7.29728853515062e-06,"P26599/P31943/P11940/P07910/P26368/Q13310/Q07666/Q5VWX1/Q8TCS8/Q13422",10
"GO:0004004","GO:0004004","ATP-dependent RNA helicase activity","21/1526","107/27621",3.46558085897802e-07,1.14864263612094e-05,9.42800173199199e-06,"P17844/O00571/Q13283/Q92841/Q92499/O15523/Q13838/P60842/Q14240/O00148/Q9NR30/Q08211/Q9BQ39/P38919/Q9H0S4/P26196/Q9NVP1/Q9NQI0/Q9GZR7/Q86XP3/O75643",21
"GO:0008186","GO:0008186","RNA-dependent ATPase activity","21/1526","107/27621",3.46558085897802e-07,1.14864263612094e-05,9.42800173199199e-06,"P17844/O00571/Q13283/Q92841/Q92499/O15523/Q13838/P60842/Q14240/O00148/Q9NR30/Q08211/Q9BQ39/P38919/Q9H0S4/P26196/Q9NVP1/Q9NQI0/Q9GZR7/Q86XP3/O75643",21
"GO:0005178","GO:0005178","integrin binding","32/1526","216/27621",3.5775299011553e-07,1.14864263612094e-05,9.42800173199199e-06,"P12814/P05556/P07237/O43707/P27797/P04216/P17301/P23229/Q15582/P08648/Q9Y490/P02751/P35609/P02461/Q08431/Q08043/P50281/P18084/P26006/P07996/P49841/O00622/Q13418/P14136/O75326/O14672/Q13443/P07942/P20908/P46939/P55268/Q03001",32
"GO:0005048","GO:0005048","signal sequence binding","17/1526","74/27621",4.33409245276982e-07,1.34356866035864e-05,1.10279448616756e-05,"P37108/O00629/P52292/Q15388/P63010/O00505/Q92973/Q14974/O15131/O60684/Q9UHB9/P61011/P52294/O00410/O14787/P49790/P52948",17
"GO:0017069","GO:0017069","snRNA binding","14/1526","52/27621",5.66717524800227e-07,1.69826351598468e-05,1.39392626275424e-05,"P63241/P55769/P62318/P08621/Q13838/O95777/Q9Y333/P09661/Q9NR30/P09012/O43172/P14678/Q8WWY3/Q96IZ5",14
"GO:0003724","GO:0003724","RNA helicase activity","21/1526","112/27621",7.67225743328036e-07,2.19859632037985e-05,1.8045969446593e-05,"P17844/O00571/Q13283/Q92841/Q92499/O15523/Q13838/P60842/Q14240/O00148/Q9NR30/Q08211/Q9BQ39/P38919/Q9H0S4/P26196/Q9NVP1/Q9NQI0/Q9GZR7/Q86XP3/O75643",21
"GO:0050839","GO:0050839","cell adhesion molecule binding","46/1526","385/27621",7.82592683561237e-07,2.19859632037985e-05,1.8045969446593e-05,"P12814/P26038/P05556/P07237/O43707/P27797/P04216/P15311/P35221/P17301/P23229/Q15582/O60716/P08648/Q9Y490/O00560/P02751/P35609/P41217/P02461/Q08431/Q08043/P50281/P26232/P35222/P18084/P49768/P26006/P07996/Q9Y639/P49841/O00622/Q13418/P14136/P14923/O75326/O14672/Q13443/Q9UI47/P20701/P18206/P07942/P20908/P46939/P55268/Q03001",46
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","18/1526","86/27621",8.74546416116728e-07,2.38247644875436e-05,1.95552484114139e-05,"O75489/P49821/O96000/P28331/O00483/O43920/Q16718/Q16795/O95168/P19404/O95182/P56556/Q9UI09/Q08257/O95299/O75306/O75251/O00217",18
"GO:0008139","GO:0008139","nuclear localization sequence binding","12/1526","41/27621",1.36828215690189e-06,3.61789899721999e-05,2.96955353556725e-05,"O00629/P52292/O00505/Q92973/Q14974/O15131/O60684/P52294/O00410/O14787/P49790/P52948",12
"GO:0003746","GO:0003746","translation elongation factor activity","10/1526","29/27621",1.95818391232074e-06,5.02973524907526e-05,4.12838172191529e-05,"P68104/P13639/P49411/Q05639/P63241/P26641/P24534/P29692/Q6IS14/Q9GZV4",10
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H","24/1526","149/27621",2.26087890767431e-06,5.64591704999778e-05,4.63414068502833e-05,"P30048/O75489/P49821/O96000/P28331/Q16698/O00483/O43920/Q16718/Q16795/O95168/P00387/P19404/O95182/P56556/Q9UI09/Q08257/O95299/P16435/O75306/O75251/P09622/O00217/O95831",24
"GO:0017022","GO:0017022","myosin binding","20/1526","111/27621",2.6661302710349e-06,6.47797598286588e-05,5.31709052630289e-05,"P68032/P68133/Q15907/O14950/P62491/P24844/P20340/P61586/P61106/P63027/Q05682/Q9NRW1/P35637/O00194/P20337/P51159/P61006/P61026/P06396/Q9H2D6",20
"GO:0016860","GO:0016860","intramolecular oxidoreductase activity","17/1526","85/27621",3.38743741188719e-06,7.81564499994939e-05,6.41504261455948e-05,"P30101/P07237/Q15084/P14174/Q8NBS9/Q9BS26/Q9NY65/P13667/O75521/P60174/Q9H3N1/P42126/Q96HE7/Q9H1E5/Q96JJ7/Q9H7Z7/Q14554",17
"GO:0003743","GO:0003743","translation initiation factor activity","18/1526","94/27621",3.39057326845557e-06,7.81564499994939e-05,6.41504261455948e-05,"P41567/P60842/Q14240/P06730/Q04637/O14602/P47813/P60228/Q13347/P56537/O00303/P78344/A6NMX2/P55010/Q14152/B5ME19/Q99613/O60841",18
"GO:0051015","GO:0051015","actin filament binding","31/1526","228/27621",3.47748387094522e-06,7.81564499994939e-05,6.41504261455948e-05,"P61158/P21333/P12814/O15145/P13639/O43707/P15311/P59998/P35221/P61160/O15144/O15511/Q9UHB6/O15143/Q9ULV4/Q9Y490/Q14315/P35611/P26232/P35579/Q92747/Q9H2D6/Q0ZGT2/P11277/Q9UI47/Q7Z406/Q9UPN3/P00533/P46939/P35749/Q9Y4G6",31
"GO:0015078","GO:0015078","hydrogen ion transmembrane transporter activity","24/1526","154/27621",4.09462591013198e-06,8.97821632489915e-05,7.36927538639928e-05,"P48047/O75947/P06576/P25705/P14854/P31930/O75964/P30049/Q9UDW1/P61421/P36542/P14406/P56385/O00483/P07919/P24539/P00167/P13073/P21281/P47985/Q9Y6N1/Q15904/P15313/P38606",24
"GO:0016853","GO:0016853","isomerase activity","33/1526","261/27621",8.33737855930993e-06,0.000178459602971896,0.000146478756142262,"P23284/P30101/P07237/Q15084/P14174/Q8NBS9/Q9BS26/Q9NY65/P13667/O75521/P45877/Q00688/P60174/Q9H3N1/P62937/Q96AY3/P42126/P30405/Q96HE7/Q9NYL4/P11387/P18669/P51659/Q8N0Y7/P15259/Q9H1E5/Q9Y680/Q13011/Q96JJ7/Q9H7Z7/Q14554/P22033/P48449",33
"GO:0043022","GO:0043022","ribosome binding","15/1526","73/27621",8.91386591644046e-06,0.000186361987415813,0.000152964994061806,"P08865/P11021/P13639/Q07021/P63241/P04844/Q6IS14/Q9GZV4/P62495/Q9Y3A5/P56537/P61619/Q9NTK5/Q8NE71/Q9BXJ9",15
"GO:0008565","GO:0008565","protein transporter activity","26/1526","183/27621",9.38089105045366e-06,0.000191668660326314,0.00015732068484134,"P62834/O96008/P02786/O00629/P52292/O94826/Q10567/Q15388/P63010/O95782/O00505/Q96QK1/Q92973/O14925/Q14974/O94973/Q9UBQ0/O15131/O60684/Q99442/P52294/O00410/Q92526/O14787/Q07954/O14980",26
"GO:0008312","GO:0008312","7S RNA binding","6/1526","11/27621",1.02274540953911e-05,0.000204321805150146,0.000167706323295185,"P09132/P37108/P49458/O76094/Q9UHB9/P61011",6
"GO:0046933","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","7/1526","16/27621",1.13969563491201e-05,0.000222736168649107,0.000182820741435541,"P48047/P06576/P25705/P30049/P36542/P24539/Q15904",7
"GO:0008266","GO:0008266","poly(U) RNA binding","7/1526","18/27621",2.87478335243304e-05,0.000538422965382771,0.000441934896942008,"P31943/P11940/P07910/Q13310/Q07666/Q5VWX1/Q8TCS8",7
"GO:0048027","GO:0048027","mRNA 5'-UTR binding","7/1526","18/27621",2.87478335243304e-05,0.000538422965382771,0.000441934896942008,"O00571/P62263/O60506/Q9NZI8/Q9Y6M1/O00425/Q6PKG0",7
"GO:0031492","GO:0031492","nucleosomal DNA binding","12/1526","55/27621",3.70443728980641e-05,0.000679650841537951,0.000557854036553016,"P60709/P0C0S5/P52926/P84243/P07910/O75367/P05204/Q09028/Q6NXT2/Q969G3/O94776/Q92922",12
"GO:0003697","GO:0003697","single-stranded DNA binding","22/1526","154/27621",4.07012050251146e-05,0.00073180766635156,0.00060066409942327,"P10809/P22626/P09651/Q15365/P04083/P61978/P67809/P42704/Q04837/P19338/P09429/Q96AE4/P26583/P62633/P35244/Q00577/P36776/P16989/Q96QR8/P15531/O14979/P29558",22
"GO:0048407","GO:0048407","platelet-derived growth factor binding","7/1526","19/27621",4.33459902224442e-05,0.000764079317842693,0.000627152510751979,"P02452/P02461/P08123/P12109/P02462/P02458/P20908",7
"GO:0008026","GO:0008026","ATP-dependent helicase activity","24/1526","180/27621",5.81303592472954e-05,0.00098602250874186,0.000809322379987171,"P17844/O00571/Q13283/Q92841/Q92499/O15523/Q13838/P60842/Q14240/O00148/Q9NR30/Q9Y230/Q08211/P12956/Q9BQ39/P13010/P38919/Q9H0S4/P26196/Q9NVP1/Q9NQI0/Q9GZR7/Q86XP3/O75643",24
"GO:0070035","GO:0070035","purine NTP-dependent helicase activity","24/1526","180/27621",5.81303592472954e-05,0.00098602250874186,0.000809322379987171,"P17844/O00571/Q13283/Q92841/Q92499/O15523/Q13838/P60842/Q14240/O00148/Q9NR30/Q9Y230/Q08211/P12956/Q9BQ39/P13010/P38919/Q9H0S4/P26196/Q9NVP1/Q9NQI0/Q9GZR7/Q86XP3/O75643",24
"GO:0031072","GO:0031072","heat shock protein binding","23/1526","174/27621",9.38910703772607e-05,0.00156311244942884,0.00128299493829356,"P23396/P61978/P38646/P11142/Q12907/P02786/P29692/P36957/Q15785/P0DMV8/P0DMV9/P17066/Q8IXB1/P68400/Q02218/P25685/P34931/O75190/Q8WXX5/Q00059/O60884/Q96EY1/P12270",23
"GO:0043566","GO:0043566","structure-specific DNA binding","26/1526","210/27621",0.000102991547241097,0.00168344365399538,0.00138176219360782,"P60709/P0C0S5/P52926/P23396/P10412/O43707/P16402/P16403/P84243/P16401/P07910/O75367/P05204/P09429/Q02539/P26583/Q09028/Q6NXT2/P36776/O15347/Q9Y230/P27695/Q969G3/O75475/O94776/Q92922",26
"GO:0051087","GO:0051087","chaperone binding","21/1526","155/27621",0.000130710942513936,0.00209837745214336,0.00172233779515543,"P10809/P11021/P27797/P30040/P02786/Q9HAV7/Q9UDY4/P30460/P36957/Q9Y4L1/P01889/Q8IXB1/P04156/P61604/Q02218/Q13217/P25685/O75190/O60884/Q9UL15/P02768",21
"GO:0051920","GO:0051920","peroxiredoxin activity","5/1526","11/27621",0.000178452842550391,0.00281454570969827,0.00231016514548151,"P30048/P30044/Q06830/P30041/P32119",5
"GO:0017025","GO:0017025","TBP-class protein binding","8/1526","31/27621",0.000214392052807494,0.00331460775911231,0.00272061359304225,"P52597/P62333/P43686/P62191/P17980/P62195/P35998/Q86VP6",8
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","13/1526","75/27621",0.000217532656048528,0.00331460775911231,0.00272061359304225,"P30048/P30101/Q9UHG3/Q9H299/Q9Y2Q3/Q9H3N1/Q96HE7/Q8IXB1/Q8NBM8/P09622/Q96JJ7/Q9H7Z7/Q9Y6N5",13
"GO:0031490","GO:0031490","chromatin DNA binding","20/1526","150/27621",0.000232484664296279,0.00348339522003925,0.00285915350301214,"P60709/P0C0S5/P52926/P10412/O43707/P16402/P16403/P84243/P16401/P07910/O75367/P05204/Q02539/Q09028/Q6NXT2/Q9Y230/P27695/Q969G3/O94776/Q92922",20
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","24/1526","197/27621",0.000238743336702572,0.00351852884746905,0.00288799100998279,"Q99714/P40926/P40939/P00338/P50213/Q9NY65/P55084/Q8TC12/P23368/Q53GQ0/Q15738/P00167/Q9UBQ7/Q16836/P48735/P07195/P51659/Q06136/P31937/Q6ZMR3/O95479/O43837/P07864/O43175",24
"GO:0031369","GO:0031369","translation initiation factor binding","10/1526","48/27621",0.000244795446909089,0.00354953398018179,0.00291343986898593,"O00571/P62847/P06730/Q04637/Q9Y4P3/O00303/Q92879/Q6PKG0/B5ME19/Q99613",10
"GO:0031491","GO:0031491","nucleosome binding","13/1526","76/27621",0.000249317941173719,0.00355772744627259,0.00292016502527614,"P60709/P0C0S5/P52926/P84243/P07910/O75367/P05204/Q09028/Q6NXT2/Q5SSJ5/Q969G3/O94776/Q92922",13
"GO:0036002","GO:0036002","pre-mRNA binding","9/1526","40/27621",0.00026971160813219,0.00378860524548186,0.00310966837665568,"P22626/P26599/P17844/P61978/P26368/Q9BWF3/Q13247/Q01130/Q96IZ5",9
"GO:0031683","GO:0031683","G-protein beta/gamma-subunit complex binding","10/1526","49/27621",0.000292486821522574,0.00398884438493443,0.00327402366821502,"P04899/P08754/P63096/P11488/P09471/P19087/P38405/A8MTJ3/P63092/Q5JWF2",10
"GO:0048029","GO:0048029","monosaccharide binding","18/1526","130/27621",0.000292840633376721,0.00398884438493443,0.00327402366821502,"P04075/P13674/O00469/O15460/Q12907/Q02809/O60568/O60762/P35613/Q32P28/P19367/P49257/P20645/Q96EK6/Q8IVL6/Q9H0V9/P52789/P11717",18
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","26/1526","226/27621",0.000335719053047858,0.00450464818940335,0.00369739287017359,"Q99714/P40926/P40939/P00338/P50213/Q9NY65/P55084/Q8TC12/P23368/Q53GQ0/O00116/Q15738/P00167/Q9UBQ7/Q16836/P48735/P07195/P51659/Q06136/P31937/Q6ZMR3/O95479/O43837/P07864/P43304/O43175",26
"GO:0042625","GO:0042625","ATPase coupled ion transmembrane transporter activity","16/1526","110/27621",0.00035534592381834,0.00469788213989246,0.00385599833740954,"P48047/P06576/P25705/P08758/P30049/P61421/P36542/Q9UHG3/P24539/P21281/P54709/Q15904/P16615/P38606/O14983/Q93084",16
"GO:0044548","GO:0044548","S100 protein binding","7/1526","26/27621",0.000402391550827877,0.0052427536839748,0.00430322619573366,"P07355/P15311/P06703/P31949/Q09666/P16615/P46940",7
"GO:0003857","GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity","6/1526","19/27621",0.000409464952873312,0.00525869989475868,0.00431631476637883,"Q99714/P40939/Q9NY65/P55084/Q16836/P51659",6
"GO:0000062","GO:0000062","fatty-acyl-CoA binding","12/1526","71/27621",0.000477883462789807,0.00598185259299139,0.00490987491093843,"P40939/P49748/P13804/O75521/P22307/P11310/P35914/Q15067/Q9H845/Q9H3P7/P26440/P45954",12
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","9/1526","43/27621",0.00047908051912723,0.00598185259299139,0.00490987491093843,"P48047/P06576/P25705/P30049/P36542/P24539/P21281/Q15904/P38606",9
"GO:0050840","GO:0050840","extracellular matrix binding","14/1526","92/27621",0.000510868458443901,0.00628689807814796,0.00516025473073207,"P09382/P08865/P05556/P19338/P17301/Q15582/P17931/P09486/P06756/P26006/P07996/O00622/Q13443/P12107",14
"GO:0016408","GO:0016408","C-acyltransferase activity","7/1526","27/27621",0.000517497728345883,0.00628689807814796,0.00516025473073207,"P40939/P55084/P24752/P22307/P09110/P42765/O15269",7
"GO:0045182","GO:0045182","translation regulator activity","11/1526","63/27621",0.00061143091994239,0.00732901862704278,0.00601562210357355,"P62263/P11940/Q9NZI8/Q14011/Q00577/Q9Y6M1/O00425/Q9Y2T7/Q92879/Q6PKG0/Q8NE71",11
"GO:0017070","GO:0017070","U6 snRNA binding","5/1526","14/27621",0.000672571237159431,0.00785248756112114,0.00644528280586139,"P63241/Q13838/O95777/Q9Y333/O43172",5
"GO:0043024","GO:0043024","ribosomal small subunit binding","5/1526","14/27621",0.000672571237159431,0.00785248756112114,0.00644528280586139,"O00571/P06748/P15531/O75616/Q96EY7",5
"GO:0016627","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","14/1526","95/27621",0.000710576824070787,0.00811908676323718,0.00666410610740503,"P49748/Q16698/P13804/P11310/Q15067/P09110/P21912/P31040/P36551/Q6NUM9/Q9H845/P26440/P45954/P50336",14
"GO:0005518","GO:0005518","collagen binding","16/1526","117/27621",0.000713468136035303,0.00811908676323718,0.00666410610740503,"P23284/P50454/P05556/P17301/Q32P28/Q15582/Q53GQ0/Q9UBG0/P02751/P16070/P09486/P07858/P26006/P07996/Q13443/P78559",16
