"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006612","GO:0006612","protein targeting to membrane","89/1513","330/27563",2.79966306385376e-37,1.36827169375253e-34,1.20425698296867e-34,"P07355/P62269/P05387/P05388/P35268/P62854/P83731/P39656/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q01082/Q9UNX3/P46782/P51571/P62829/P04843/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/Q9Y5M8/P09132/P37108/P46776/P61009/P62249/P62910/Q9Y3D6/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P35613/P15880/P62081/P62277/P62979/P42766/P43307/P46777/P47914/P49207/P50914/P83881/P22090/P49458/Q9UNL2/P62424/Q99653/P04844/P62266/O00560/P46778/P84098/P62280/O76094/Q9NZN3/P46779/P67812/Q15363/Q9UHB9/P62906/Q9GZY8/P61011/Q99442/P61619/P31150/P08240/Q9UPN3",89
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","70/1513","203/27563",3.87172307688567e-37,1.73453193844478e-34,1.5266136167194e-34,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P11940/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/P22090/P62424/P30153/P62266/P46778/P62495/P84098/Q04637/P62280/P60228/P46779/P62906/Q15287/P67775/P38919/P63151/Q09161",70
"GO:0009069","GO:0009069","serine family amino acid metabolic process","68/1513","206/27563",9.55093193340517e-35,3.94967769799894e-32,3.47622988183452e-32,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P34897/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/P22090/P11586/P62424/P62266/P46778/P84098/P25325/P62280/P46779/P48507/P62906/P38919/O43175/P34896/P22102",68
"GO:0001887","GO:0001887","selenium compound metabolic process","64/1513","190/27563",2.29891470100145e-33,8.82783245184555e-31,7.76964028646729e-31,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/P22090/O95340/P62424/P62266/P46778/P84098/P62280/P46779/P62906/P38919/O43252/P54136",64
"GO:0006402","GO:0006402","mRNA catabolic process","86/1513","351/27563",1.16906003398569e-32,4.1899111618047e-30,3.68766656334432e-30,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P11940/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/O43390/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P60842/P83881/Q14240/Q92945/P22090/P06730/Q9Y333/P62424/P30153/P62266/P46778/P62495/P84098/Q04637/Q9Y2W1/P62280/P60228/P46779/P62906/Q15287/Q96B26/P67775/Q92600/P38919/Q8TCS8/Q9BRX2/P63151/P26196/P13489/Q7Z2W4/Q09161/Q6P2E9/A5YKK6",86
"GO:0006401","GO:0006401","RNA catabolic process","92/1513","401/27563",1.83556655007555e-32,6.16750360825386e-30,5.42820502801948e-30,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q14103/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P11940/P42704/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/O43390/P15880/P62081/P62277/P62979/Q9GZT3/P42766/P46777/P47914/P49207/P50914/P60842/P83881/Q14240/Q92945/P22090/Q13310/P06730/Q9Y333/P62424/P30153/P62266/P46778/P62495/P84098/Q04637/Q9Y2W1/P62280/P60228/P46779/P62906/Q15287/Q96B26/P67775/Q92600/P39748/P38919/Q8TCS8/Q9BRX2/P63151/P26196/P13489/Q7Z2W4/Q09161/Q9H0D6/Q6P2E9/A5YKK6",92
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","81/1513","328/27563",4.44395514179527e-31,1.40533546131126e-28,1.2368779171746e-28,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P11940/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P60842/P83881/Q14240/P22090/P06730/Q9Y333/P62424/P30153/P62266/P46778/P62495/P84098/Q04637/Q9Y2W1/P62280/P60228/P46779/P62906/Q15287/Q96B26/P67775/Q92600/P38919/Q9BRX2/P63151/P26196/Q09161/Q6P2E9/A5YKK6",81
"GO:0006457","GO:0006457","protein folding","89/1513","404/27563",4.95647747704457e-30,1.48033460647731e-27,1.30288691574944e-27,"P60709/P10809/P68371/P23284/P68363/Q71U36/P04350/Q13885/Q9BVA1/Q9BQE3/P30101/Q13509/P11021/Q9BUF5/Q13748/Q6PEY2/P38646/P11142/P14625/P07237/P27824/P27797/P68366/P78371/P14314/P30040/O14656/Q15084/P61769/P40227/Q8NBS9/Q99832/Q9HAV7/Q9UDY4/P08621/Q14697/Q9BS26/Q9NY65/P13667/P50990/Q32P28/P49368/P45877/Q00688/P50991/Q13724/Q9H3N1/P62937/P08238/P17987/P49257/Q9UBS4/Q96AY3/P0DMV8/P0DMV9/P48643/P17066/P30405/Q12931/P54652/P07900/Q96HE7/Q8IXB1/P61604/Q9NYL4/P68400/Q9NYU2/P25685/P34931/O75718/O75190/Q9Y230/Q9H1E5/Q9Y680/Q14165/Q9UBV2/O14657/Q9H0V9/O60884/Q9H4B7/P30533/Q96EY1/Q96JJ7/Q9UL15/Q92526/Q14554/Q9UKM7/Q9BZQ6/Q8N766",89
"GO:0019083","GO:0019083","viral transcription","73/1513","308/27563",6.39193626079401e-27,1.80858154410677e-24,1.59178689707862e-24,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P52926/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/Q13148/Q01628/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/P22090/P62424/P62266/P46778/P84098/P62280/P46779/P62906/P23193/P57740/P32780/Q08945/Q09161/P12270/Q8N1F7/O75694/P49790/P52948",73
"GO:0019080","GO:0019080","viral gene expression","75/1513","326/27563",9.58001507047612e-27,2.57510805094398e-24,2.26642988114685e-24,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P52926/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/Q13148/Q01628/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/P22090/P62424/P62266/P46778/P84098/P62280/P0CG47/P46779/P62906/P23193/P57740/P0CG48/P32780/Q08945/Q09161/P12270/Q8N1F7/O75694/P49790/P52948",75
"GO:0044033","GO:0044033","multi-organism metabolic process","75/1513","351/27563",1.31390579180081e-24,3.36359882701007e-22,2.96040427776674e-22,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P52926/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/Q13148/Q01628/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/P22090/P62424/P62266/P46778/P84098/P62280/P0CG47/P46779/P62906/P23193/P57740/P0CG48/P32780/Q08945/Q09161/P12270/Q8N1F7/O75694/P49790/P52948",75
"GO:0006403","GO:0006403","RNA localization","71/1513","326/27563",7.08027281251724e-24,1.7301612109133e-21,1.52276680824234e-21,"P22626/P09651/P08865/Q32P51/P62857/Q9Y224/Q9Y265/P78371/P42704/P51991/P63241/P40227/Q99832/P55735/P84103/P50990/P26368/Q13242/P49368/Q13838/P0DN76/Q01081/Q92945/Q9NZI8/Q9Y2X3/P50991/P82979/O75494/P06730/Q13243/Q15388/P17987/Q07955/Q86V81/Q14764/P48643/Q6IS14/Q9GZV4/Q9Y6M1/O00148/Q13247/Q01130/P62826/Q07666/Q9Y230/Q15287/Q9UN86/Q16629/Q86U42/Q05519/O00425/Q16762/O60282/Q08170/P22087/P38919/Q8TCS8/Q9BY77/P57740/O75955/O95793/Q09161/P12270/Q8IYB3/O14980/Q8N1F7/Q14008/O94906/O75694/P49790/P52948",71
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","82/1513","460/27563",2.17113593198885e-21,5.07479424798784e-19,4.46647872507545e-19,"P63244/P02545/P30101/P11021/Q96HY6/P13639/P14625/P07237/P55072/P27797/P49748/P30040/O14656/Q9Y5M8/Q15084/P61421/Q8NBS9/Q13148/Q9BS26/P13667/O75477/O94905/P43307/Q03135/Q9Y4L1/Q9H3N1/Q96CS3/Q969H8/Q9UBS4/P0DMV8/P0DMV9/Q96A33/O95292/Q9Y490/O94979/P62333/Q92890/Q96HE7/Q96JB5/Q8IXB1/Q9BQE4/O14653/Q13217/Q8TAT6/Q99470/P35611/Q9Y3C8/P43686/P19525/P62191/Q9Y4P3/Q8TCT9/O95831/Q9H1E5/O94874/P62714/Q99442/P61619/Q9UBV2/O14763/P07996/P49841/Q8N6T3/Q96JJ7/P17980/P62195/P16615/O75955/P35998/P54578/Q96DZ1/Q14554/O60313/Q14203/Q14258/Q9UKM7/P08240/Q06210/Q9BZQ6/O14983/P29590/Q5VYK3",82
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","75/1513","399/27563",4.55173763352858e-21,1.0195892299104e-18,8.9737108169785e-19,"P48047/P04075/O75947/P06576/P04406/P25705/P11142/P55072/O75489/Q9UJZ1/P49821/P31930/P06733/O75964/O96000/P28331/P30049/P56134/P99999/Q9UDW1/P00338/P08754/P36542/P56385/P22695/P19367/P54819/O75439/O00483/P60174/O43920/P07919/Q16718/Q16795/Q9BRR6/P00558/P0DMV8/P0DMV9/O95168/P14927/P30405/P24539/P19404/Q9UJS0/O95182/P56556/Q02218/P15531/P09972/O95299/P13073/P22392/P14618/Q08043/O75306/O75251/P13929/P09622/P18669/P21281/Q8N0Y7/O00217/P15259/O00429/O75323/Q9UIJ7/P07864/Q9NTK5/P09104/P07205/P15313/P30613/P38606/P52789/Q9ULD0",75
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process","76/1513","412/27563",7.97591043554475e-21,1.71513978005954e-18,1.50954599611679e-18,"P48047/P04075/O75947/P06576/P04406/P25705/P11142/P55072/O75489/Q9UJZ1/P49821/P31930/P06733/O75964/O96000/P28331/P30049/P56134/P99999/Q9UDW1/P00338/P08754/P36542/P56385/P22695/P19367/P54819/O75439/O00483/P60174/O43920/P07919/Q16718/Q16795/Q9BRR6/P00558/P0DMV8/P0DMV9/O95168/P14927/P30405/P24539/P19404/Q9UJS0/O95182/P56556/Q02218/P15531/P09972/O95299/P13073/P22392/P14618/Q08043/O75306/O75251/P13929/P09622/P18669/P21281/Q8N0Y7/O00217/P15259/O00429/O75323/Q9UIJ7/P07864/Q9NTK5/P09104/P07205/P15313/P17812/P30613/P38606/P52789/Q9ULD0",76
"GO:0046034","GO:0046034","ATP metabolic process","71/1513","372/27563",2.1239853853152e-20,4.3747639995292e-18,3.85036109372724e-18,"P48047/P04075/O75947/P06576/P04406/P25705/P11142/P55072/O75489/Q9UJZ1/P49821/P31930/P06733/O75964/O96000/P28331/P30049/P56134/P99999/Q9UDW1/P00338/P36542/P56385/P22695/P19367/P54819/O75439/O00483/P60174/O43920/P07919/Q16718/Q16795/Q9BRR6/P00558/P0DMV8/P0DMV9/O95168/P14927/P30405/P24539/P19404/Q9UJS0/O95182/P56556/Q02218/P09972/O95299/P13073/P14618/Q08043/O75306/O75251/P13929/P09622/P18669/P21281/Q8N0Y7/O00217/P15259/O00429/O75323/P07864/Q9NTK5/P09104/P07205/P15313/P30613/P38606/P52789/Q9ULD0",71
"GO:0045333","GO:0045333","cellular respiration","69/1513","354/27563",2.19714709797783e-20,4.3747639995292e-18,3.85036109372724e-18,"P48047/P40926/O75947/P06576/P25705/P11177/P55072/O75489/P49821/P14854/P31930/O75964/O96000/P28331/P30049/P38117/P56134/P99999/Q9UDW1/P50213/P13804/P36542/P56385/Q99798/P22695/P08559/O75390/P36957/O75439/O00483/Q5RI15/O43920/P07919/Q16718/Q16795/Q9P2R7/O95168/P14927/Q12931/P07954/O75746/P24539/P19404/P08574/Q9UJS0/O95182/P56556/Q9UI09/P48735/Q02218/P21912/O95299/P13073/P31040/Q08043/O75306/O75251/P09622/P53597/Q96I99/O00217/P10515/P47985/Q969Z0/Q9H845/O43837/Q8TCS8/P04040/Q9ULD0",69
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","75/1513","413/27563",3.74573024570731e-20,7.19180207175803e-18,6.32972084753923e-18,"P48047/P04075/O75947/P06576/P04406/P25705/P11142/P55072/O75489/Q9UJZ1/P49821/P31930/P06733/O75964/O96000/P28331/P30049/P56134/P99999/Q9UDW1/P00338/P08754/P36542/P56385/P22695/P19367/P54819/O75439/O00483/P60174/O43920/P07919/Q16718/Q16795/Q9BRR6/P00558/P0DMV8/P0DMV9/O95168/P14927/P30405/P24539/P19404/Q9UJS0/O95182/P56556/Q02218/P15531/P09972/O95299/P13073/P22392/P14618/Q08043/O75306/O75251/P13929/P09622/P18669/P21281/Q8N0Y7/O00217/P15259/O00429/O75323/Q9UIJ7/P07864/Q9NTK5/P09104/P07205/P15313/P30613/P38606/P52789/Q9ULD0",75
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","78/1513","447/27563",7.89221788599609e-20,1.46305390879707e-17,1.28767765508357e-17,"P48047/P04075/O75947/P06576/P04406/P25705/P11142/P55072/O75489/Q9UJZ1/P49821/P31930/P06733/O75964/O96000/P28331/P30049/P56134/P99999/Q9UDW1/P00338/P08754/P36542/P56385/P22695/P19367/P54819/O75439/O00483/P60174/O43920/P07919/Q16718/Q16795/Q9BRR6/P00558/P0DMV8/P0DMV9/O95168/P14927/P30405/P24539/P19404/Q9UJS0/O95182/P56556/Q02218/P15531/P09972/O95299/P13073/P22392/P14618/Q08043/O75306/O75251/P13929/P09622/P18669/P21281/P53597/Q8N0Y7/O00217/P15259/O00429/O75323/Q9UIJ7/P07864/Q9NTK5/P22413/P09104/P07205/P15313/P17812/P30613/P38606/P52789/Q9ULD0",78
"GO:0009167","GO:0009167","purine ribonucleoside monophosphate metabolic process","77/1513","454/27563",7.6331696923118e-19,1.36786400886227e-16,1.20389816726111e-16,"P48047/P04075/O75947/P06576/P04406/P25705/P11142/P55072/O75489/Q9UJZ1/P49821/P21589/P31930/P06733/O75964/O96000/P28331/P30049/P56134/P99999/Q9UDW1/P00338/P36542/P56385/P22695/P19367/P54819/O75439/O00483/P60174/O43920/P07919/Q16718/Q16795/Q9BRR6/P00558/P0DMV8/P0DMV9/O95168/P14927/P30405/P24539/P19404/Q9UJS0/O95182/P56556/Q02218/P09972/O95299/P13073/P14618/Q08043/O75306/O75251/P13929/P09622/P18669/P21281/Q8N0Y7/O00217/P15259/O00429/O75323/Q9UIJ7/P11908/P60891/P07864/Q9NTK5/P09104/P07205/P15313/P31939/P30613/P38606/P52789/Q9ULD0/P22102",77
"GO:0009126","GO:0009126","purine nucleoside monophosphate metabolic process","77/1513","455/27563",8.70992800882601e-19,1.51047009598221e-16,1.32941006450502e-16,"P48047/P04075/O75947/P06576/P04406/P25705/P11142/P55072/O75489/Q9UJZ1/P49821/P21589/P31930/P06733/O75964/O96000/P28331/P30049/P56134/P99999/Q9UDW1/P00338/P36542/P56385/P22695/P19367/P54819/O75439/O00483/P60174/O43920/P07919/Q16718/Q16795/Q9BRR6/P00558/P0DMV8/P0DMV9/O95168/P14927/P30405/P24539/P19404/Q9UJS0/O95182/P56556/Q02218/P09972/O95299/P13073/P14618/Q08043/O75306/O75251/P13929/P09622/P18669/P21281/Q8N0Y7/O00217/P15259/O00429/O75323/Q9UIJ7/P11908/P60891/P07864/Q9NTK5/P09104/P07205/P15313/P31939/P30613/P38606/P52789/Q9ULD0/P22102",77
